id,zipcode,latitude,longitude,neighbourhood_cleansed,is_location_exact,bedrooms,room_type,bathrooms,beds,bed_type,accommodates,essentials,wifi,tv,kitchen,oven,cooking basics,heating,washer,host greets you,elevator,family/kid friendly,private living room,coffee maker,dishwasher,reviews_per_month,number_of_reviews,number_of_reviews_ltm,host_is_superhost,host_total_listings,host_identity_verified,host_since_years,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_365,is_instant_bookable,cancellation_policy,security_deposit,is_agency,cleaning_fee,price,kfold
42469867,75009.0,48.87517,2.33147,Opéra,1,1.0,Entire home/apt,1.5,1.0,Bed,2,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1.62,4,4,0,0.0,1,0.24,3,1125,3,3,1125,1125,3.0,1125.0,49,1,strict,security_deposit_0,0,30.0,99.0,0
31238242,75002.0,48.868,2.35199,Bourse,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1.55,24,17,0,1.0,1,6.29,4,1125,4,7,1125,1125,4.8,1125.0,110,1,flexible,security_deposit_1,0,51.0,160.0,0
37731214,75009.0,48.87463,2.34763,Opéra,0,2.0,Entire home/apt,1.0,4.0,Bed,8,1,1,1,1,0,0,1,0,0,0,1,0,0,0,2.34,17,17,0,54.0,1,6.04,1,1125,3,5,1125,1125,3.1,1125.0,363,1,moderate,security_deposit_1,1,85.0,120.0,0
29627670,75014.0,48.82786,2.31621,Observatoire,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2.67,50,24,1,1.0,1,1.54,2,30,2,2,1125,1125,2.0,1125.0,226,1,moderate,security_deposit_n,0,,80.0,0
6986069,75001.0,48.86511,2.33025,Louvre,0,3.0,Entire home/apt,2.5,6.0,Bed,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97,57,9,0,0.0,1,4.88,3,1125,3,3,1125,1125,3.0,1125.0,0,0,strict,security_deposit_1,0,200.0,250.0,0
36170053,75011.0,48.86955,2.37195,Popincourt,1,0.0,Entire home/apt,1.0,1.0,Bed,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1.45,15,15,1,2.0,1,6.03,3,1125,3,3,1125,1125,3.0,1125.0,24,1,moderate,security_deposit_0,0,30.0,70.0,0
32569447,75013.0,48.83345,2.34661,Gobelins,1,0.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0.76,10,6,0,1.0,1,1.21,1,1125,1,2,1125,1125,1.3,1125.0,0,0,flexible,security_deposit_1,0,49.0,74.0,0
8896185,75015.0,48.83979,2.314,Vaugirard,1,0.0,Entire home/apt,1.0,1.0,Sofa,2,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0.23,2,2,0,303.0,1,7.91,3,120,3,5,120,120,4.0,120.0,365,1,strict,security_deposit_1,1,80.0,204.0,0
13723230,75016.0,48.85284,2.27962,Passy,0,3.0,Entire home/apt,2.0,4.0,Bed,6,1,1,1,1,0,0,1,1,1,1,1,0,0,0,,0,0,0,2.0,1,6.96,7,30,7,7,30,30,7.0,30.0,270,0,strict,security_deposit_1,0,,190.0,0
5188529,75011.0,48.86483,2.36715,Popincourt,1,1.0,Private room,1.0,2.0,Sofa,3,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0.89,56,24,1,2.0,1,5.72,1,6,1,1,6,6,1.0,6.0,357,0,moderate,security_deposit_1,0,27.0,68.0,0
33148005,75015.0,48.84643,2.28941,Vaugirard,1,2.0,Entire home/apt,1.5,3.0,Bed,6,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0.39,5,3,0,1.0,0,6.92,4,1125,4,4,1125,1125,4.0,1125.0,0,1,moderate,security_deposit_0,0,50.0,190.0,0
41166956,75002.0,48.86593,2.35223,Bourse,1,1.0,Entire home/apt,1.0,2.0,Bed,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1.65,7,7,0,1.0,0,1.87,1,1125,1,1,1125,1125,1.0,1125.0,145,1,strict,security_deposit_1,0,38.0,85.0,0
34439811,75019.0,48.88441,2.3917,Buttes-Chaumont,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,0,1,1,1,0,1,0,0,1,0,2.89,36,34,0,6.0,1,5.84,1,1125,1,1,1125,1125,1.0,1125.0,74,1,strict,security_deposit_1,1,50.0,70.0,0
43020275,75004.0,48.86047,2.35616,Temple,1,2.0,Entire home/apt,1.0,3.0,Bed,4,1,1,1,1,0,0,1,1,0,0,0,0,0,0,,0,0,0,15.0,1,1.79,1,1125,1,4,2,1125,2.2,51.2,357,1,strict,security_deposit_1,1,79.0,106.0,0
41305653,75017.0,48.88503,2.32377,Batignolles-Monceau,1,2.0,Private room,1.5,3.0,Bed,6,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0.29,1,1,0,1.0,0,3.9,2,1125,2,2,1125,1125,2.0,1125.0,228,1,strict,security_deposit_1,0,50.0,200.0,0
39692617,75010.0,48.87751,2.34951,Entrepôt,1,0.0,Entire home/apt,1.0,1.0,Bed,2,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0.94,2,2,0,1.0,0,0.96,5,30,5,5,1125,1125,5.0,1125.0,89,1,strict,security_deposit_n,0,,70.0,0
17279237,75010.0,48.87535,2.36158,Entrepôt,1,0.0,Private room,0.0,1.0,Bed,2,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1.93,41,23,0,6.0,1,4.79,3,1125,3,3,1125,1125,3.0,1125.0,23,0,strict,security_deposit_0,1,15.0,59.0,0
37522830,75019.0,48.8846,2.3736900000000003,Buttes-Chaumont,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,1,0,1,1,0,0,0,1,0,0,2.75,23,23,0,1.0,1,0.76,1,1125,1,2,1125,1125,1.3,1125.0,0,0,flexible,security_deposit_1,0,52.0,65.0,0
40792037,75020.0,48.86512000000001,2.3934900000000003,Ménilmontant,1,1.0,Entire home/apt,1.0,2.0,Bed,3,1,1,1,1,1,1,1,1,0,0,0,0,1,0,,0,0,0,1.0,1,4.81,4,1125,4,4,1125,1125,4.0,1125.0,364,0,moderate,security_deposit_1,0,20.0,110.0,0
27261830,75019.0,48.89125,2.37511,Buttes-Chaumont,1,1.0,Entire home/apt,1.0,2.0,Bed,4,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1.44,31,30,0,1.0,1,3.58,2,15,2,2,15,15,2.0,15.0,0,1,moderate,security_deposit_0,0,30.0,90.0,0
42602559,75013.0,48.8328,2.35124,Gobelins,1,4.0,Entire home/apt,3.0,4.0,Bed,10,1,1,1,1,0,0,1,1,0,0,0,0,0,0,,0,0,0,122.0,1,1.82,1,1125,1,4,2,1125,1.9,263.4,339,1,strict,security_deposit_1,1,149.0,135.0,0
2032337,75009.0,48.87857,2.3343,Opéra,1,3.0,Entire home/apt,2.5,4.0,Bed,6,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0.94,69,11,0,1.0,1,6.44,3,31,3,5,31,31,3.3,31.0,67,0,flexible,security_deposit_1,0,60.0,340.0,0
4766306,75011.0,48.85817,2.3771400000000003,Popincourt,1,3.0,Entire home/apt,2.0,6.0,Bed,8,1,1,1,1,1,1,1,1,0,0,1,0,1,1,3.1,195,29,1,5.0,1,7.4,3,1125,3,3,1125,1125,3.0,1125.0,286,1,moderate,security_deposit_1,0,,280.0,0
20047453,75002.0,48.86999,2.35029,Bourse,1,0.0,Entire home/apt,1.0,2.0,Bed,4,1,1,1,1,1,1,1,1,0,0,0,0,1,1,2.43,80,29,0,1.0,1,2.79,2,1125,2,6,1125,1125,3.9,1125.0,0,1,moderate,security_deposit_0,0,60.0,79.0,0
35836561,75011.0,48.86584000000001,2.3724,Popincourt,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1.24,13,13,1,0.0,0,0.9,2,1123,2,2,1123,1123,2.0,1123.0,12,0,moderate,security_deposit_n,0,10.0,80.0,0
17744261,75008.0,48.87206,2.31102,Élysée,0,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,0,0,1,0,0,0,1,0,1,0,3.43,131,39,0,4.0,1,3.16,3,1124,3,3,1124,1124,3.0,1124.0,358,1,strict,security_deposit_1,0,28.0,85.0,0
42053542,75007.0,48.85823,2.3294900000000003,Palais-Bourbon,1,3.0,Entire home/apt,2.5,5.0,Bed,6,0,1,1,1,1,1,1,1,0,0,1,0,0,1,,0,0,0,303.0,1,7.9,30,1125,30,30,1125,1125,30.0,1125.0,124,1,strict,security_deposit_1,1,200.0,161.0,0
4780039,75010.0,48.87069,2.3502,Entrepôt,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1.27,79,18,1,1.0,1,7.03,2,35,2,2,35,35,2.0,35.0,0,0,moderate,security_deposit_1,0,45.0,200.0,0
30739452,75020.0,48.85813,2.39965,Ménilmontant,1,1.0,Entire home/apt,1.0,2.0,Bed,4,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0.14,2,0,0,1.0,1,6.14,2,1125,2,7,1125,1125,4.3,1125.0,0,1,flexible,security_deposit_1,0,63.0,99.0,0
35793282,75004.0,48.85696,2.36357,Temple,1,1.0,Entire home/apt,2.0,3.0,Bed,6,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1.74,19,19,1,1.0,1,5.4,2,1125,2,2,1125,1125,2.0,1125.0,357,0,strict,security_deposit_1,0,120.0,320.0,0
15653582,92130.0,48.83224000000001,2.28054,Vaugirard,1,0.0,Entire home/apt,1.0,2.0,Bed,2,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1.61,69,23,0,1.0,0,3.55,1,1125,1,6,6,1125,4.6,42.1,343,1,strict,security_deposit_1,0,49.0,59.0,0
8974098,75003.0,48.85774,2.36642,Temple,1,0.0,Entire home/apt,1.0,1.0,Bed,2,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0.5,22,6,0,1.0,0,4.57,5,1125,5,5,1125,1125,5.0,1125.0,238,0,flexible,security_deposit_1,0,30.0,63.0,0
42920453,75012.0,48.85049,2.37381,Reuilly,1,1.0,Entire home/apt,1.0,2.0,Bed,2,1,1,1,1,0,0,1,1,0,0,0,0,0,0,,0,0,0,0.0,1,1.39,20,1125,20,20,1125,1125,20.0,1125.0,6,0,flexible,security_deposit_0,0,54.0,57.0,0
601053,75006.0,48.85674,2.33927,Luxembourg,1,1.0,Entire home/apt,1.0,1.0,Bed,3,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0.74,70,9,1,1.0,1,8.07,3,60,3,3,60,60,3.0,60.0,183,0,strict,security_deposit_1,0,100.0,95.0,0
24482725,75015.0,48.85108,2.29116,Vaugirard,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1.34,32,9,0,1.0,0,2.07,2,1125,2,6,1125,1125,4.7,1125.0,0,1,strict,security_deposit_1,0,56.0,82.0,0
42594468,75008.0,48.87208,2.29916,Élysée,1,1.0,Private room,1.0,1.0,Bed,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0.0,0,1.38,1,15,1,1,15,15,1.0,15.0,362,0,flexible,security_deposit_n,0,,100.0,0
16773225,75002.0,48.86766,2.33588,Bourse,1,0.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,0,1,1,0,0,1,1,0,1,1,3.53,142,45,0,14.0,1,5.1,1,1124,1,1,1124,1124,1.0,1124.0,305,1,flexible,security_deposit_1,1,50.0,99.0,0
24593102,75006.0,48.85541,2.33718,Luxembourg,1,0.0,Entire home/apt,1.0,2.0,Bed,2,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1.24,29,15,0,1.0,1,4.07,1,1125,1,2,1125,1125,1.3,1125.0,0,0,flexible,security_deposit_1,0,59.0,69.0,0
39942518,75017.0,48.88258,2.31616,Batignolles-Monceau,1,1.0,Entire home/apt,1.0,2.0,Bed,3,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0.38,1,1,0,1.0,1,0.51,1,1125,1,2,1125,1125,1.3,1125.0,84,0,flexible,security_deposit_1,0,70.0,73.0,0
1008724,75011.0,48.85294,2.37971,Popincourt,1,2.0,Entire home/apt,1.0,2.0,Bed,4,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0.36,31,2,0,1.0,1,7.15,6,50,6,6,50,50,6.0,50.0,164,0,strict,security_deposit_1,0,60.0,145.0,0
33132255,75010.0,48.87587,2.36568,Entrepôt,1,2.0,Entire home/apt,1.0,4.0,Bed,6,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.52,6,6,0,2.0,1,4.83,1,1125,1,1,1125,1125,1.0,1125.0,186,1,moderate,security_deposit_n,0,80.0,140.0,0
39429625,75008.0,48.87822,2.30393,Élysée,0,1.0,Entire home/apt,1.0,3.0,Bed,5,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0.9,5,5,0,97.0,1,4.79,4,730,1,9,730,730,5.1,730.0,2,0,strict,security_deposit_1,1,60.0,150.0,0
40462237,75019.0,48.89085,2.37356,Buttes-Chaumont,0,0.0,Entire home/apt,1.0,1.0,Bed,2,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0.88,4,4,0,0.0,1,0.45,1,1125,1,2,1125,1125,1.3,1125.0,0,0,flexible,security_deposit_1,0,45.0,53.0,0
23530449,75020.0,48.85476,2.40521,Ménilmontant,1,2.0,Entire home/apt,1.0,2.0,Bed,3,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0.38,10,5,0,1.0,0,2.21,2,1125,2,7,1125,1125,4.3,1125.0,286,1,flexible,security_deposit_1,0,78.0,112.0,0
12950922,75001.0,48.86514,2.3347900000000004,Louvre,1,1.0,Entire home/apt,1.0,2.0,Bed,3,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0.99,35,10,0,1.0,1,5.92,2,120,2,6,120,120,4.7,120.0,0,1,strict,security_deposit_1,0,65.0,116.0,0
33791593,75014.0,48.83311,2.32954,Observatoire,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0.9,11,10,0,37.0,1,2.85,2,1125,2,2,1125,1125,2.0,1125.0,0,1,flexible,security_deposit_1,1,60.0,117.0,0
35186471,75020.0,48.86804,2.40037,Ménilmontant,1,1.0,Entire home/apt,1.0,2.0,Bed,4,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0.3,3,3,0,0.0,1,0.97,2,1125,2,7,1125,1125,4.5,1125.0,45,1,flexible,security_deposit_1,0,63.0,71.0,0
42090977,75005.0,48.85142000000001,2.34667,Panthéon,1,0.0,Entire home/apt,1.0,0.0,Bed,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1.69,5,5,0,1.0,0,0.28,1,3,1,1,1125,1125,1.0,1125.0,0,1,flexible,security_deposit_n,0,,70.0,0
34173062,75020.0,48.86695,2.39757,Ménilmontant,1,0.0,Entire home/apt,1.0,1.0,Bed,2,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1.01,12,12,0,1.0,1,2.09,3,1125,3,3,1125,1125,3.0,1125.0,18,1,strict,security_deposit_1,0,20.0,50.0,0
17262381,75003.0,48.86089000000001,2.36554,Temple,1,1.0,Entire home/apt,1.0,3.0,Bed,5,1,1,1,1,0,0,1,1,1,0,1,0,0,0,3.6,138,46,0,1.0,1,7.42,2,1125,2,2,1125,1125,2.0,1125.0,293,1,moderate,security_deposit_1,0,75.0,110.0,0
38665858,75004.0,48.85355,2.36666,Hôtel-de-Ville,1,0.0,Entire home/apt,1.0,2.0,Bed,3,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1.34,9,9,1,0.0,0,3.7,7,28,7,7,1125,1125,7.0,1125.0,0,1,flexible,security_deposit_1,0,10.0,70.0,0
37805730,75016.0,48.84317,2.2695,Passy,1,4.0,Entire home/apt,2.0,5.0,Bed,8,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0.28,2,2,0,21.0,1,3.1,2,1125,2,2,1125,1125,2.0,1125.0,231,1,flexible,security_deposit_1,1,150.0,399.0,0
3466856,75006.0,48.85579,2.33591,Luxembourg,1,1.0,Entire home/apt,1.0,1.0,Sofa,2,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0.91,65,20,0,1.0,1,6.64,7,1125,7,7,1125,1125,7.0,1125.0,28,0,flexible,security_deposit_n,0,,60.0,0
36331376,75010.0,48.87706,2.35458,Entrepôt,1,1.0,Entire home/apt,1.0,2.0,Bed,4,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0.67,6,6,0,1.0,1,0.85,1,1125,1,2,1125,1125,1.3,1125.0,0,0,flexible,security_deposit_1,0,64.0,85.0,0
782593,75006.0,48.84691,2.32561,Luxembourg,1,1.0,Private room,0.5,1.0,Bed,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.04,3,0,0,1.0,1,7.51,270,1125,270,270,1125,1125,270.0,1125.0,285,0,strict,security_deposit_1,0,,20.0,0
4046800,75019.0,48.88701,2.38859,Buttes-Chaumont,1,1.0,Entire home/apt,1.0,1.0,Bed,4,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0.81,55,11,0,1.0,1,5.86,4,1125,4,4,1125,1125,4.0,1125.0,63,1,flexible,security_deposit_1,0,0.0,90.0,0
32496648,75004.0,48.85426,2.36863,Hôtel-de-Ville,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,0,1,1,1,1,0,0,0,1,0,2.34,33,26,1,1.0,1,1.23,3,30,3,4,30,30,3.2,30.0,145,0,moderate,security_deposit_1,0,40.0,95.0,0
35625760,75017.0,48.8951,2.32225,Batignolles-Monceau,1,2.0,Entire home/apt,1.0,2.0,Bed,4,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0.21,2,2,0,1.0,1,0.91,1,1125,1,2,1125,1125,1.3,1125.0,0,0,flexible,security_deposit_1,0,79.0,100.0,0
34107179,75002.0,48.86971,2.34035,Bourse,1,0.0,Entire home/apt,1.0,1.0,Bed,2,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1.27,16,13,0,1.0,1,1.05,1,1125,1,2,1125,1125,1.3,1125.0,0,0,flexible,security_deposit_1,0,49.0,63.0,0
39867085,75014.0,48.83265,2.32646,Observatoire,1,1.0,Entire home/apt,1.0,2.0,Bed,4,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0.68,3,3,0,2.0,1,0.52,2,1125,2,10,1125,1125,2.4,1125.0,31,1,strict,security_deposit_1,0,30.0,60.0,0
34453587,75010.0,48.87476,2.35508,Entrepôt,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0.69,8,8,0,1.0,1,6.53,2,1125,2,2,1125,1125,2.0,1125.0,2,0,moderate,security_deposit_1,0,,70.0,0
40113880,75014.0,48.82706,2.33283,Observatoire,1,1.0,Entire home/apt,1.0,2.0,Bed,4,1,1,1,1,0,1,1,0,0,0,0,0,1,0,3.02,18,18,1,11.0,1,6.43,3,15,3,4,15,15,3.2,15.0,176,0,moderate,security_deposit_1,1,70.0,139.0,0
30848034,75010.0,48.87236,2.36523,Entrepôt,1,0.0,Entire home/apt,1.0,1.0,Bed,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.39,3,3,0,85.0,1,4.18,2,1125,2,6,1125,1125,4.7,1125.0,162,1,strict,security_deposit_1,1,56.0,69.0,0
21703388,75009.0,48.87233,2.34588,Opéra,1,0.0,Entire home/apt,1.0,1.0,Bed,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1.48,24,8,0,1.0,1,2.91,4,1125,4,4,1125,1125,4.0,1125.0,0,0,strict,security_deposit_n,0,,48.0,0
32716490,75009.0,48.88148,2.34441,Opéra,1,1.0,Entire home/apt,1.0,2.0,Bed,3,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1.23,17,14,0,1.0,1,1.55,5,90,5,5,1125,1125,5.0,1125.0,155,1,moderate,security_deposit_1,0,45.0,115.0,0
34673777,75017.0,48.88768,2.31712,Batignolles-Monceau,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0.43,5,5,0,1.0,1,0.99,1,1125,1,2,1125,1125,1.3,1125.0,0,0,flexible,security_deposit_1,0,52.0,58.0,0
30814147,75006.0,48.84893,2.32826,Luxembourg,1,0.0,Entire home/apt,1.0,2.0,Bed,3,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1.25,18,11,0,1.0,1,3.13,2,1125,2,2,1125,1125,2.0,1125.0,270,1,moderate,security_deposit_0,0,35.0,160.0,0
41444771,75007.0,48.85631,2.30347,Palais-Bourbon,0,1.0,Entire home/apt,1.0,2.0,Bed,3,1,1,1,1,1,0,1,1,0,1,1,0,0,1,,0,0,0,1229.0,1,4.98,3,1125,3,3,3,1125,3.0,694.9,365,1,strict,security_deposit_1,1,65.0,409.0,0
32833159,75003.0,48.86504,2.35898,Temple,1,1.0,Entire home/apt,1.0,1.0,Bed,3,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0.5,7,4,0,1.0,0,4.91,7,1125,7,7,1125,1125,7.0,1125.0,27,0,flexible,security_deposit_1,0,30.0,95.0,0
22627105,75003.0,48.85915,2.36586,Temple,1,0.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1.94,51,19,1,2.0,1,7.35,4,60,4,4,60,60,4.0,60.0,255,0,strict,security_deposit_1,0,30.0,97.0,0
17861418,75003.0,48.86437,2.36505,Temple,1,1.0,Entire home/apt,1.0,3.0,Bed,5,1,1,1,1,0,1,1,1,1,1,1,0,1,0,3.19,120,45,0,4.0,1,3.14,5,370,5,5,365,1125,5.0,896.3,355,0,strict,security_deposit_1,0,70.0,150.0,0
41661677,75011.0,48.86613,2.36795,Popincourt,1,1.0,Entire home/apt,1.0,2.0,Bed,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0.71,2,2,0,1.0,1,0.32,1,1125,1,1,1125,1125,1.0,1125.0,133,1,flexible,security_deposit_n,0,,112.0,0
36335567,75009.0,48.87808,2.34595,Opéra,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1.06,10,10,1,1.0,1,0.85,1,1125,1,2,1125,1125,1.3,1125.0,0,0,flexible,security_deposit_1,0,56.0,80.0,0
24850611,75017.0,48.89253,2.3154,Batignolles-Monceau,0,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1.9,46,14,1,1.0,0,4.73,2,7,2,2,7,7,2.0,7.0,0,0,flexible,security_deposit_1,0,20.0,85.0,0
40449743,75016.0,48.85828,2.27353,Passy,1,0.0,Entire home/apt,1.0,3.0,Bed,3,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0.67,3,3,0,292.0,1,7.06,1,1125,1,1,1125,1125,1.0,1125.0,0,1,strict,security_deposit_1,1,24.0,87.0,0
42559442,75011.0,48.8621,2.37738,Popincourt,1,0.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,1,0,1,1,0,0,0,1,1,1,,0,0,0,1.0,1,0.21,1,1125,1,2,1125,1125,1.3,1125.0,37,0,flexible,security_deposit_1,0,53.0,56.0,0
37586583,75018.0,48.89419,2.35049,Buttes-Montmartre,1,1.0,Entire home/apt,1.0,2.0,Bed,4,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0.39,3,3,0,1.0,1,0.76,1,1125,1,2,1125,1125,1.3,1125.0,0,0,flexible,security_deposit_1,0,64.0,85.0,0
16608122,75015.0,48.83278,2.28029,Vaugirard,1,1.0,Entire home/apt,1.0,2.0,Bed,4,1,1,1,1,1,1,1,1,0,1,1,1,1,0,3.13,126,42,0,1.0,1,3.36,2,60,2,2,60,60,2.0,60.0,48,1,moderate,security_deposit_0,0,20.0,85.0,0
41791711,75014.0,48.82588,2.33041,Observatoire,1,1.0,Entire home/apt,1.0,1.0,Bed,4,1,1,1,1,0,1,1,1,0,0,0,0,0,0,3.19,10,10,1,1.0,1,3.92,1,1125,1,1,1125,1125,1.0,1125.0,0,1,strict,security_deposit_0,0,5.0,100.0,0
42064147,75011.0,48.85671,2.37658,Popincourt,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0.48,1,1,0,1.0,1,0.26,1,1125,1,2,1125,1125,1.3,1125.0,0,0,flexible,security_deposit_1,0,56.0,70.0,0
28119120,75011.0,48.86361,2.37393,Popincourt,1,0.0,Entire home/apt,1.0,1.0,Bed,2,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0.73,11,8,1,1.0,1,5.97,5,7,5,5,1125,1125,5.0,1125.0,0,0,flexible,security_deposit_0,0,20.0,40.0,0
41076011,75009.0,48.87953,2.34314,Opéra,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1.13,4,4,0,0.0,1,0.37,1,1125,1,2,1125,1125,1.3,1125.0,0,0,flexible,security_deposit_1,0,56.0,71.0,0
39620526,75013.0,48.83422,2.3593,Gobelins,1,0.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,1,0,1,1,0,0,0,1,1,1,4.86,30,30,0,2.0,1,0.55,1,1125,1,2,1125,1125,1.3,1125.0,0,0,flexible,security_deposit_1,0,51.0,87.0,0
32446167,75016.0,48.83983,2.26678,Passy,1,0.0,Entire home/apt,1.5,1.0,Bed,2,1,1,1,1,0,1,1,0,1,0,0,0,1,0,2.53,38,24,1,1.0,1,1.24,1,7,1,1,7,7,1.0,7.0,135,0,strict,security_deposit_n,0,0.0,70.0,0
37821452,75017.0,48.89124,2.31306,Batignolles-Monceau,1,1.0,Entire home/apt,1.0,2.0,Bed,4,1,1,1,1,1,1,1,1,0,1,0,1,1,1,2.39,20,20,0,1.0,1,0.73,2,1125,2,7,1125,1125,4.3,1125.0,0,1,flexible,security_deposit_1,0,63.0,90.0,0
38598665,75017.0,48.89198,2.31005,Batignolles-Monceau,1,2.0,Entire home/apt,1.0,2.0,Bed,4,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0.52,4,4,0,0.0,1,0.66,1,1125,1,2,1125,1125,1.3,1125.0,0,0,flexible,security_deposit_1,0,79.0,122.0,0
38111504,75017.0,48.88269,2.31542,Batignolles-Monceau,1,0.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0.28,2,2,0,1.0,1,0.71,1,1125,1,2,1125,1125,1.3,1125.0,0,0,flexible,security_deposit_1,0,45.0,50.0,0
29198887,75011.0,48.8534,2.3721,Popincourt,1,2.0,Entire home/apt,3.0,3.0,Bed,6,1,1,1,1,0,0,1,1,0,0,1,0,0,0,3.0,57,35,0,106.0,1,5.9,3,1125,1,2,999,999,1.4,999.0,365,1,strict,security_deposit_0,1,100.0,380.0,0
38169621,75020.0,48.84928,2.40708,Ménilmontant,1,2.0,Entire home/apt,1.0,3.0,Bed,6,1,1,1,1,1,0,1,1,0,1,0,1,1,1,2.74,22,22,0,1.0,1,0.7,1,1125,1,2,1125,1125,1.3,1125.0,0,0,flexible,security_deposit_1,0,99.0,129.0,0
